Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
1/6/2017 14:30,0.905,1.58,3.49,4.596,104.48,29.7
1/6/2017 15:00,0.797,1.45,3.434,3.746,106.48,29.7
1/6/2017 15:30,0.817,1.52,3.404,4.18,111.48,29.7
1/6/2017 16:00,0.889,1.7,3.59,3.962,119.48,29.65
1/6/2017 16:30,0.899,1.5,3.597,4.805,109.48,29.65
1/6/2017 17:00,0.968,1.69,3.582,4.699,99.48,29.65
1/6/2017 17:30,0.973,1.59,3.739,4.496,104.48,29.65
1/6/2017 18:00,0.924,1.61,3.702,4.49,101.48,29.7
1/6/2017 18:30,0.905,1.71,3.615,3.957,99.48,29.65
1/6/2017 19:00,0.887,1.42,3.605,4.581,105.48,29.6
1/6/2017 19:30,0.973,1.59,3.545,4.841,109.48,29.6
1/6/2017 20:00,0.953,1.86,3.595,4.7,106.48,29.65
1/6/2017 20:30,1.013,1.68,3.547,4.799,111.48,29.65
1/6/2017 21:00,1.008,1.62,3.528,4.293,108.48,29.6
1/6/2017 21:30,0.981,1.9,3.528,4.01,108.48,29.6
1/6/2017 22:00,0.937,1.79,3.408,4.402,113.48,29.6
1/6/2017 22:30,0.907,1.62,3.341,3.673,123.48,29.6
1/6/2017 23:00,0.92,1.83,3.409,4.04,115.48,29.55
1/6/2017 23:30,0.891,1.41,3.398,3.81,122.48,29.55
1/7/2017 0:00,0.837,1.46,3.204,3.532,119.48,29.5
1/7/2017 0:30,0.854,1.56,3.264,3.759,123.48,29.5
1/7/2017 1:00,0.932,1.86,3.275,3.595,126.48,29.5
1/7/2017 1:30,0.971,1.88,3.452,4.322,133.48,29.45
1/7/2017 2:00,1.089,1.75,3.454,4.582,106.48,29.45
1/7/2017 2:30,1.148,1.7,3.652,4.502,116.48,29.45
1/7/2017 3:00,0.983,1.72,3.338,4.549,106.48,29.45
1/7/2017 3:30,1.015,1.8,3.373,4.307,109.48,29.4
1/7/2017 4:00,0.99,2.05,3.365,4.597,119.48,29.4
1/7/2017 4:30,0.942,1.54,3.43,4.329,112.48,29.4
1/7/2017 5:00,0.988,2.06,3.502,4.216,113.48,29.4
1/7/2017 5:30,0.946,1.58,3.42,3.898,123.48,29.35
1/7/2017 6:00,0.96,1.82,3.328,4.216,127.48,29.4
1/7/2017 6:30,0.948,1.7,3.48,3.875,133.48,29.35
1/7/2017 7:00,0.858,1.54,3.291,3.735,125.48,29.35
1/7/2017 7:30,0.769,1.4,3.183,3.811,123.48,29.35
1/7/2017 8:00,0.746,1.29,3.196,3.24,126.48,29.35
1/7/2017 8:30,0.726,1.26,3.135,3.538,123.48,29.35
1/7/2017 9:00,0.736,1.27,3.056,3.418,123.48,29.35
1/7/2017 9:30,0.688,1.35,3.027,3.261,125.48,29.35
1/7/2017 10:00,0.697,1.16,3.146,3.203,135.48,29.35
1/7/2017 10:30,0.694,1.12,3.177,3.18,137.48,29.4
1/7/2017 11:00,0.67,1.14,3.093,3.265,135.48,29.4
1/7/2017 11:30,0.624,1.11,3.132,3.197,130.48,29.4
1/7/2017 12:00,0.65,1.26,3.173,3.353,135.48,29.4
1/7/2017 12:30,0.699,1.33,3.257,3.181,146.48,29.4
1/7/2017 13:00,0.807,1.52,3.302,3.958,146.48,29.4
1/7/2017 13:30,0.826,1.41,3.425,3.954,127.48,29.4
1/7/2017 14:00,0.876,1.57,3.429,3.855,123.48,29.4
1/7/2017 14:30,0.815,1.42,3.478,3.846,133.48,29.4
1/7/2017 15:00,0.859,1.44,3.464,4.315,125.48,29.4
1/7/2017 15:30,0.889,1.79,3.581,4.596,112.48,29.4
1/7/2017 16:00,0.96,1.77,4.039,5.199,104.48,29.4
1/7/2017 16:30,0.942,1.57,3.832,5.677,102.48,29.4
1/7/2017 17:00,0.96,1.55,3.87,5.629,101.48,29.4
1/7/2017 17:30,0.938,1.65,3.808,5.494,104.48,29.4
1/7/2017 18:00,1.023,1.68,3.903,4.502,99.48,29.35
1/7/2017 18:30,1.047,1.66,3.798,3.961,101.48,29.35
1/7/2017 19:00,1.064,1.71,3.787,5.802,91.48,29.35
1/7/2017 19:30,1.002,1.59,3.831,4.223,95.48,29.35
1/7/2017 20:00,1.013,1.71,3.858,5.842,94.48,29.3
1/7/2017 20:30,1.055,1.75,3.749,5.649,92.48,29.3
1/7/2017 21:00,1.077,2,3.729,5.973,95.48,29.3
1/7/2017 21:30,0.984,1.88,3.712,5.712,98.48,29.3
1/7/2017 22:00,0.986,1.96,3.627,5.474,111.48,29.3
1/7/2017 22:30,0.997,1.77,3.596,4.849,109.48,29.3
1/7/2017 23:00,1.025,2.23,3.716,4.122,101.48,29.3
1/7/2017 23:30,1.126,1.91,3.722,5.469,108.48,29.3
1/8/2017 0:00,1.151,2.19,3.689,4.237,109.48,29.3
1/8/2017 0:30,1.201,2.3,3.817,4.328,106.48,29.3
1/8/2017 1:00,1.111,1.71,3.713,4.301,113.48,29.3
1/8/2017 1:30,1.15,2.1,3.728,3.968,111.48,29.3
1/8/2017 2:00,1.11,2.02,3.816,4.96,99.48,29.3
1/8/2017 2:30,0.996,1.75,3.803,5.188,99.48,29.25
1/8/2017 3:00,0.997,1.49,3.801,5.188,97.48,29.2
1/8/2017 3:30,0.923,1.76,3.781,5.482,92.48,29.2
1/8/2017 4:00,0.892,1.4,3.767,5.777,99.48,29.15
1/8/2017 4:30,0.846,1.55,3.593,5.67,98.48,29.15
1/8/2017 5:00,0.847,1.32,3.562,5.973,99.48,29.1
1/8/2017 5:30,0.914,1.38,3.714,5.793,95.48,29.1
1/8/2017 6:00,0.896,1.42,3.569,3.671,95.48,29.1
